id;age;lines;client_time;income;bill;residence_time;cable_tv;auto_debt;canceled
47;29;1;12;4330;733;2;yes;no;0
48;36;1;16;6510;1292;0,4;yes;no;1
49;29;3;14;8010;200;1,4;yes;yes;1
50;36;1;15;4990;1210;7;yes;yes;0
51;43;2;16;5650;874;3,6;yes;no;1
52;32;2;15;5410;449;5,8;yes;no;0
53;38;1;31;9880;1033;7,9;yes;yes;0
54;40;1;23;7000;346;4;yes;yes;0
55;38;3;12;4690;40;7,6;no;yes;0
56;44;1;25;5910;354;6,8;no;no;0
57;47;2;12;5440;673;5,2;no;no;0
58;41;1;17;5970;380;6;no;yes;0
59;47;1;24;5720;500;3,2;no;no;0
60;37;1;28;7520;1377;7,2;no;no;0
61;37;2;15;5800;566;5,6;yes;no;0
62;35;1;14;7380;538;4,9;yes;yes;1
63;32;1;25;8070;650;5,4;yes;yes;0
64;36;2;24;8530;1410;2,7;yes;yes;1
65;35;1;23;6280;758;3,4;yes;no;0
66;42;1;16;6740;935;7,5;no;no;0
67;33;1;13;4890;52;4,5;no;no;0
68;46;1;29;10480;723;1,9;yes;yes;0
69;40;1;27;6410;608;3,2;yes;no;0
70;34;3;19;5650;1867;6;yes;no;1
71;43;2;16;5160;555;5,1;yes;no;1
72;28;1;14;4810;1299;3,3;yes;yes;1
73;56;2;22;10250;1215;4,3;yes;no;0
74;35;3;14;15870;1985;5,1;yes;no;0
75;53;1;26;6820;882;4,1;no;no;0
76;28;2;18;6030;663;6,9;yes;no;0
77;37;1;21;6400;1229;0,7;no;yes;0
78;36;2;19;5360;411;5,6;no;yes;0
79;30;1;19;5190;429;3,8;yes;yes;1
80;35;2;20;5020;339;1,9;yes;no;0
81;29;3;16;6330;869;6,8;no;no;0
82;34;1;24;6870;532;3,8;yes;no;0
83;39;1;19;5810;1238;5,4;no;yes;0
84;39;1;25;6120;457;1,9;yes;yes;0
85;44;1;13;5470;793;5,6;yes;yes;0
86;28;1;21;5300;371;2,4;yes;no;0
87;40;1;21;6010;340;5,4;yes;no;0
88;41;2;31;9270;891;2,9;no;no;0
89;51;1;40;11880;1846;4,6;yes;no;0
90;35;1;20;5420;952;4,1;yes;yes;0
91;46;1;18;6400;234;8,5;no;yes;0
92;47;1;14;6400;473;6,5;no;no;0
93;26;1;19;6110;307;7,7;yes;yes;0
94;30;1;20;6240;349;5,6;yes;no;0
95;35;2;15;5680;1015;4,6;yes;no;0
96;27;3;14;5550;873;0,5;yes;no;0
97;27;2;14;5600;565;3,8;yes;yes;0
98;41;1;25;5780;431;4,8;yes;yes;0
99;36;1;29;5810;970;4,6;no;no;0
100;32;1;25;8170;519;3,5;no;no;0
101;27;3;12;5790;178;7;yes;no;0
102;33;1;16;5030;331;2,2;yes;yes;0
103;55;1;31;9970;624;4,2;yes;no;0
104;26;1;13;5030;1092;5,7;no;yes;1
105;41;1;14;5180;610;8,1;yes;yes;0
106;41;2;23;9840;131;3,4;yes;no;0
107;42;1;30;7860;1859;7,1;yes;yes;0
108;32;3;13;5350;676;3,1;no;no;0
109;42;1;26;8660;1710;5,2;yes;yes;1
110;46;1;13;6960;250;5,6;yes;yes;0
111;41;1;12;5210;149;4,4;no;no;1
112;30;3;13;5310;950;3,1;yes;yes;1
113;42;3;19;5160;396;6,8;yes;no;0
114;48;2;37;11020;2851;7,2;yes;yes;1
115;41;2;16;4950;358;5,8;no;no;0
116;40;2;15;5220;205;8,7;yes;no;0
117;27;1;14;5300;906;6,4;yes;yes;0
118;39;1;25;8710;601;7,2;no;no;0
119;38;1;18;5850;1404;5,9;yes;no;1
120;44;2;29;11820;951;5;yes;yes;0
121;44;3;23;10110;614;7,4;yes;yes;0
122;42;1;29;8160;571;5,2;yes;yes;0
123;48;3;18;8090;1308;2,9;yes;no;0
124;32;3;13;10770;1401;2;no;no;1
125;49;2;19;6120;194;8,1;yes;yes;0
126;37;3;14;4770;22;2,6;no;no;1
127;30;1;23;6390;203;4,4;yes;no;0
128;38;1;22;5000;651;4,2;yes;no;0
129;44;2;28;7080;1324;5,8;yes;no;0
130;37;3;12;5990;479;6,7;yes;no;0
131;43;2;18;5600;672;5,4;no;no;0
132;38;2;21;6630;1148;5,9;yes;no;0
133;29;2;15;5150;546;9,7;yes;yes;1
134;40;2;25;7990;339;4,6;no;yes;0
135;43;1;24;11000;834;6,4;yes;yes;0
136;54;1;15;5700;147;4,4;yes;no;0
137;47;1;38;15170;990;8,7;yes;no;0
138;28;1;15;5160;1054;3,8;no;no;0
139;32;1;14;6250;550;6,9;yes;no;1
140;27;1;15;5080;602;4,5;no;no;1
141;42;1;13;5610;1231;5,8;yes;no;1
142;33;1;24;6140;904;4,4;yes;no;0
143;29;1;13;5520;548;7,8;yes;yes;0
144;40;1;31;10890;545;6,8;yes;no;0
145;28;1;17;6140;1374;1,1;no;no;1
146;32;1;13;4610;254;4;yes;yes;1
147;56;1;36;11270;1521;1,6;yes;no;0
148;50;1;37;8140;149;8;yes;no;0
149;61;3;26;19820;1696;2,1;yes;yes;0
150;46;1;26;9620;998;3,5;yes;yes;0
151;44;2;22;8440;177;3,5;yes;no;0
152;41;2;22;6820;590;7,2;no;yes;0
153;41;1;23;7060;461;10,4;yes;yes;0
154;36;3;12;5480;1110;5,7;no;no;1
155;47;1;18;6870;338;7,3;yes;yes;0
156;35;1;23;5520;223;5,9;yes;no;0
157;28;2;17;4910;624;2,5;yes;no;0
158;31;1;21;5520;195;4;no;yes;0
159;38;1;30;13220;1466;5,8;yes;no;0
160;34;2;23;6420;307;1;no;no;0
161;33;2;12;5000;231;4,5;yes;yes;1
162;34;1;23;9560;1229;5,6;yes;yes;1
163;49;3;20;12050;212;1,9;no;yes;0
164;38;1;26;6580;236;6,4;yes;no;0
165;32;2;13;6900;1348;3,7;yes;yes;0
166;46;1;28;10400;582;5,4;no;no;0
167;34;3;18;6590;863;4,4;yes;no;0
168;31;1;15;6660;442;4,5;yes;yes;0
169;46;1;25;6840;190;3,4;no;no;0
170;30;3;15;10080;1042;2,3;yes;no;1
171;48;3;20;12980;2677;2,7;no;no;0
172;44;1;27;7910;182;3;no;no;0
173;35;1;13;5770;219;6,7;yes;yes;0
174;43;1;36;13160;1693;4,9;yes;no;0
175;52;2;25;11870;567;3,3;yes;no;0
176;26;1;19;5140;842;5,2;yes;no;1
177;23;1;16;4950;305;4,8;yes;yes;0
178;35;1;22;5860;225;4,6;no;yes;0
179;27;1;17;5000;287;0,1;no;no;1
180;29;1;21;7190;319;7,4;yes;no;0
181;33;1;19;7000;688;5,6;yes;no;0
182;47;1;26;7060;146;6,4;yes;yes;0
183;50;1;21;5340;1828;2,6;yes;no;0
184;34;1;13;5520;570;7,1;yes;yes;0
185;45;1;22;7060;255;0,7;yes;yes;0
186;33;1;15;5660;339;5,4;yes;yes;0
187;46;3;12;6870;123;5,1;no;no;0
188;27;3;13;4330;664;3,5;no;yes;1
189;48;1;25;10640;3004;8,1;yes;yes;1
190;33;3;20;10900;684;9,5;yes;yes;0
191;44;3;27;15960;1426;5;yes;no;0
192;55;2;30;6500;143;2,5;no;yes;0
193;35;2;17;8320;600;3,7;yes;no;0
194;39;1;20;6130;471;5,7;no;yes;0
195;44;1;14;5220;406;4,6;no;no;0
196;40;1;16;5630;207;5,3;yes;no;1
197;37;2;14;4580;784;5,7;no;yes;0
198;43;1;22;5460;346;7;yes;yes;0
199;35;1;25;6760;1211;4,8;yes;yes;0
200;33;1;25;5790;1579;2,1;yes;no;1
201;33;3;20;7920;1230;4,1;no;no;1
202;31;2;12;5530;504;4,6;yes;yes;1
203;29;1;17;4990;453;4;yes;no;0
204;34;1;19;5080;628;4,4;no;no;0
205;32;1;15;4620;231;6;no;no;0
206;50;2;29;14830;3089;4,1;yes;no;1
207;33;1;23;6770;128;2,1;yes;no;0
208;37;1;25;6460;1055;3,8;yes;no;0
209;34;1;13;4890;716;5,4;yes;no;0
210;43;2;17;8550;897;1,7;yes;no;0
211;28;1;19;5250;790;5,5;no;no;0
212;50;2;26;9110;2376;8,4;no;no;0
213;35;3;14;6510;48;6,3;yes;no;0
214;27;1;13;4790;1333;3,6;yes;no;1
215;38;2;25;10020;357;2,8;yes;no;0
216;37;3;12;7500;60;7,7;yes;yes;0
217;46;2;30;14530;297;5,4;no;no;0
218;28;1;12;4480;592;7;yes;yes;1
219;36;2;27;9190;1189;4,9;no;no;0
220;25;1;13;5500;1230;1,8;no;no;1
221;36;1;13;4750;823;2;no;yes;1
222;37;1;30;9610;1191;6;yes;no;0
223;33;1;16;7120;1226;10;no;no;1
224;39;2;20;6740;787;5,1;yes;no;0
225;35;1;19;5130;546;1,5;yes;no;0
226;39;1;24;8020;603;9,5;yes;no;0
227;42;1;29;7090;414;4,2;yes;no;0
228;35;1;23;6770;176;3,9;yes;yes;0
229;37;3;18;5720;427;5,9;yes;no;0
230;45;1;17;5290;141;4,8;yes;no;0
231;50;1;31;10860;932;5,9;yes;no;0
232;51;1;36;10490;1728;5;yes;yes;0
233;38;2;25;6970;339;8,2;yes;no;0
234;36;2;24;9610;811;3,7;yes;no;0
235;34;1;21;5540;143;5,6;no;no;0
236;37;1;18;5400;627;7,1;yes;no;0
237;28;2;12;5620;680;2,3;yes;no;0
238;24;3;12;5630;857;7,1;no;no;1
239;52;2;33;19780;1360;8,2;no;yes;0
240;34;3;19;5960;152;4,7;yes;yes;0
241;25;2;14;5340;553;3,7;yes;no;1
242;35;1;17;5000;756;8,6;no;no;1
243;45;2;31;11350;1162;0,7;yes;no;1
244;32;1;17;4920;1153;6,4;yes;yes;1
245;42;3;22;6270;717;4,5;yes;yes;0
246;29;1;13;5230;372;7,6;no;yes;0
247;29;1;18;5220;444;5,3;yes;no;0
248;42;1;13;5390;396;3;yes;yes;0
249;38;3;16;6750;928;6,7;no;yes;1
250;48;1;23;7380;257;4,8;no;yes;0
251;44;1;36;10730;865;4,7;no;no;0
252;28;1;15;4990;664;5,6;yes;no;0
253;49;1;18;8090;299;6,7;yes;yes;0
254;24;1;12;4210;1137;6,3;yes;no;1
255;26;2;14;8670;633;2,7;yes;no;1
256;36;3;24;9970;1193;4,7;yes;yes;0
257;40;3;15;7970;266;3,2;yes;yes;0
258;29;1;18;5190;46;2,8;yes;no;0
259;29;1;22;4830;472;2,5;no;no;0
260;41;1;17;5590;64;4,1;no;no;0
261;33;1;26;5980;619;2,6;yes;no;0
262;40;3;15;8120;885;1,3;no;no;1
263;37;3;14;6350;814;4,8;no;no;1
264;45;2;20;6850;407;7,4;yes;no;0
265;43;1;27;7270;585;10;yes;no;1
266;33;1;17;5770;191;2,4;no;no;0
267;39;2;26;8790;234;4;yes;yes;0
268;44;1;17;5120;135;4,5;no;yes;0
269;42;2;33;16270;1309;3,5;yes;no;0
270;31;1;23;5830;425;5,3;yes;yes;0
271;39;2;14;6300;1033;9,3;no;yes;1
272;48;1;14;5510;741;4,6;yes;yes;1
273;47;3;13;6820;488;4,3;no;yes;0
274;36;3;19;16860;305;9,7;yes;no;0
275;44;1;32;9230;263;4,9;yes;yes;0
276;56;1;49;19390;4000;6,2;yes;yes;0
277;30;1;12;5240;846;4,3;yes;no;1
278;27;3;15;5160;107;2,4;yes;no;1
279;31;2;19;6000;683;1,1;yes;no;0
280;54;1;38;15870;1080;2;yes;no;0
281;37;2;26;5910;1657;6,8;yes;no;0
282;30;2;12;5260;434;2,1;yes;yes;0
283;30;3;18;5860;246;5,3;no;yes;0
284;35;3;16;7230;270;7,7;yes;no;0
285;32;1;19;5110;796;5;no;yes;0
286;38;2;18;5060;968;9,2;no;yes;1
287;38;2;28;8360;63;5,2;no;no;0
288;29;2;12;4560;613;1,3;yes;yes;1
289;45;1;12;5080;881;4,5;no;no;1
290;31;1;19;5300;335;5,4;yes;yes;0
291;47;2;29;13380;1217;7,9;yes;no;0
292;42;1;22;13150;76;4,4;no;no;0
293;56;1;38;14030;1830;6,7;yes;no;0
294;26;1;18;5270;915;3,8;yes;yes;1
295;36;1;24;6700;371;5,3;yes;no;0
296;39;3;17;6920;1409;1,8;yes;no;1
297;44;2;14;5270;505;8,6;no;no;1
298;25;2;12;4700;275;8,9;no;yes;0
299;27;1;17;5690;708;5,2;yes;no;0
300;32;3;16;4550;219;8,5;yes;yes;0
301;34;2;13;4560;139;3,5;yes;yes;0
302;43;2;29;10430;456;4,3;no;yes;0
303;39;1;18;6200;282;3,5;yes;yes;0
304;33;2;23;7530;167;3,2;no;no;0
305;30;2;21;6380;1090;2,2;yes;yes;0
306;25;1;17;5110;453;6,8;yes;no;1
307;29;1;18;5480;550;6,6;yes;yes;0
308;40;3;12;8740;247;3,5;yes;no;1
309;33;1;24;7530;1432;6,3;yes;yes;0
310;41;1;20;5520;139;4,8;yes;no;0
311;40;2;19;7920;195;4,2;no;no;0
312;34;1;15;4620;538;2,8;no;no;0
313;43;2;12;5610;335;4,1;no;no;0
314;53;3;37;30000;3514;5,6;yes;no;0
315;38;1;15;4890;254;1,5;no;yes;0
316;32;3;20;9390;789;4,9;yes;no;0
317;35;1;25;8410;425;3,8;yes;yes;0
318;31;1;21;5400;154;7,4;yes;no;0
319;37;1;18;5500;917;5,8;yes;no;0
320;29;1;15;6280;701;4,7;no;no;1
321;49;3;20;7280;273;5;yes;no;0
322;54;1;19;6570;419;4;yes;no;1
323;41;1;34;8480;887;3,9;no;no;0
324;48;3;22;7580;1281;4,2;no;no;0
325;48;2;28;10050;434;8,2;no;no;0
326;45;3;19;7610;1415;6;yes;no;1
327;42;1;32;7620;549;3,1;yes;no;0
328;49;2;33;9320;1124;3,6;yes;no;0
329;34;1;12;7540;929;4,7;no;no;0
330;36;3;17;9600;194;5,3;yes;no;0
331;32;2;18;6450;265;7,2;no;no;0
332;41;2;14;7680;1116;7,4;yes;no;0
333;48;1;23;8730;599;5,2;no;no;0
334;49;3;15;9530;1383;6,4;yes;yes;0
335;58;1;31;14760;277;7,7;yes;yes;0
336;46;1;32;8720;546;6,6;yes;no;0
337;36;1;26;7200;1155;6,5;no;no;0
338;49;1;15;6410;202;4,7;no;no;0
339;46;1;18;5300;159;2,2;no;no;0
340;31;1;16;7530;2034;8,8;yes;no;1
341;39;1;31;6980;344;5,9;yes;no;0
342;32;2;15;5610;345;5,7;yes;yes;0
343;53;1;21;6690;361;3,3;yes;no;0
344;45;2;26;16200;1187;8;yes;no;0
345;40;1;18;5310;189;8,3;yes;no;0
346;42;3;17;10510;500;2,9;no;yes;0
347;35;1;27;6920;438;3,3;no;no;0
348;46;2;28;15720;830;6,4;no;no;0
349;50;3;14;9400;1409;3,2;yes;no;0
350;36;2;12;4890;60;2,4;yes;no;0
351;43;1;13;6450;767;2,9;no;no;0
352;44;1;15;6510;455;0,3;no;no;0
353;41;1;16;5360;48;6,5;yes;no;0
354;45;3;18;8540;648;7;yes;no;0
355;46;1;29;7060;1751;9,8;yes;yes;0
356;48;2;34;17270;1970;3,2;yes;no;0
357;36;2;23;6000;330;7,3;no;yes;0
358;39;1;30;10160;1189;8;yes;no;0
359;44;3;13;4740;679;5,7;no;yes;1
360;37;3;16;5610;766;3;no;no;0
361;49;3;16;6850;365;5,5;yes;yes;0
362;34;1;26;8030;517;6,4;yes;yes;0
363;35;1;21;6080;190;3,5;yes;yes;0
364;26;1;19;5100;175;2,7;yes;no;0
365;27;1;12;4950;357;1,8;yes;no;0
366;33;1;16;4900;512;4,9;yes;no;0
367;47;2;22;7770;633;2,5;no;yes;0
368;37;3;25;11330;873;6,7;no;yes;0
369;34;1;21;6000;1483;6,5;yes;no;1
370;42;1;34;9280;527;4,1;no;yes;0
371;51;2;41;14690;1489;9,1;yes;yes;0
372;29;2;17;7280;1576;2,9;no;yes;1
373;48;2;26;12350;1872;2,9;yes;yes;1
374;37;1;29;7090;486;4,8;yes;yes;0
375;43;3;27;17980;4000;5,5;no;yes;1
376;29;1;12;4750;659;4,3;yes;yes;0
377;47;1;19;7140;481;4,4;yes;no;0
378;31;1;23;7910;1063;4,4;no;no;1
379;42;3;15;8870;339;7,4;yes;yes;0
380;46;1;14;4820;560;6,6;no;no;0
381;32;1;25;7670;1058;6,9;yes;no;0
382;55;1;42;19400;4000;5,5;yes;yes;1
383;41;1;29;11550;522;12,9;yes;no;0
384;54;1;18;6610;184;4,7;yes;yes;0
385;50;3;37;19190;2479;7,7;yes;no;0
386;33;2;13;4820;595;2,3;yes;no;1
387;42;2;31;11700;503;5,2;yes;yes;0
388;32;1;25;6060;658;4;yes;no;0
389;39;1;19;5320;887;6,5;no;no;0
390;40;2;25;9980;140;5,9;yes;no;0
391;49;3;21;7710;803;4,8;no;no;0
392;46;2;31;10470;862;5,3;yes;no;0
393;45;2;31;12100;785;7,4;yes;no;0
394;51;2;26;9250;1003;4,7;no;yes;0
395;43;1;30;15480;4000;6,1;yes;yes;1
396;41;1;30;10790;392;1,7;yes;yes;0
397;32;1;18;6500;1145;6,9;yes;yes;1
398;50;3;28;20260;2925;3,6;no;yes;1
399;34;2;21;9000;1229;6,1;no;no;1
400;41;3;12;7300;1132;6;no;yes;0
401;38;3;18;6130;238;4,4;yes;yes;1
402;38;2;25;12560;2959;9,1;yes;yes;1
403;52;1;17;7720;511;4,2;no;no;0
404;52;2;28;10970;1859;6,9;yes;no;0
405;30;2;17;7390;855;4,2;yes;no;1
406;34;3;13;4630;512;3,2;no;yes;1
407;36;1;20;6720;542;1,7;yes;yes;0
408;55;2;12;5230;1231;6,6;yes;no;1
409;46;1;19;6020;263;4,7;yes;yes;0
410;31;1;21;5330;505;9,7;yes;yes;0
411;35;2;19;4790;471;6,6;yes;no;0
412;42;1;12;5090;286;4,4;no;yes;1
413;36;3;12;6230;1307;7;yes;no;0
414;29;1;15;5080;65;4,5;yes;yes;0
415;37;3;19;8360;1441;3,4;no;yes;1
416;39;3;16;10830;2813;3,4;yes;no;1
417;26;2;16;6660;327;3,3;no;no;1
418;60;1;19;5560;881;3,5;yes;no;0
419;39;1;30;7100;172;5,1;no;yes;0
420;45;3;24;9970;503;2,8;yes;yes;0
421;46;2;32;7370;348;5,2;no;no;0
422;44;1;27;7150;917;8,5;yes;no;0
423;38;3;19;12570;2911;3,6;yes;no;1
424;29;1;17;5410;762;4,9;yes;yes;1
425;39;1;31;6890;1208;5,9;yes;yes;0
426;39;1;25;7200;194;3,2;no;no;0
427;43;2;14;7130;41;2,5;yes;yes;0
428;26;1;19;5180;424;7,3;yes;no;0
429;43;1;21;7240;1043;5,2;yes;no;0
430;27;1;15;4980;401;6,4;yes;yes;1
431;29;2;19;6840;650;6,7;yes;no;0
432;31;2;14;7130;1050;5,3;yes;no;1
433;39;1;16;5730;454;7,8;yes;no;0
434;34;1;16;5250;359;8;yes;no;0
435;39;1;19;6830;473;4,4;yes;no;0
436;38;2;21;6600;99;4,9;yes;no;0
437;32;2;16;5220;517;4,5;no;no;0
438;30;1;20;5620;248;6,9;yes;yes;0
439;36;1;24;8560;1098;4,8;yes;yes;0
440;32;2;21;7010;573;6,6;no;yes;0
441;50;1;22;7830;1425;4,7;no;yes;0
442;44;2;16;5910;1034;7,8;yes;no;0
443;32;3;15;10260;1224;4,2;yes;yes;0
444;43;1;14;5640;761;4,6;no;yes;1
445;44;1;23;5510;371;3,9;yes;yes;0
446;37;1;15;6320;702;5,7;no;no;1
447;42;2;29;7050;693;7,5;yes;yes;0
448;37;1;12;5280;467;4,1;yes;no;1
449;26;2;16;5640;832;5,5;no;no;1
450;39;1;20;5760;310;9,4;yes;yes;0
451;35;3;16;6960;889;3,9;no;no;1
452;32;1;23;7400;949;6,7;yes;yes;0
453;51;2;13;4740;637;5,6;yes;no;1
454;47;1;17;5100;387;8,2;yes;yes;0
455;32;1;13;5840;270;4;yes;no;0
456;26;1;17;5370;1114;5,3;yes;yes;1
457;39;2;22;5760;379;6,2;yes;no;0
458;37;1;17;5230;287;7,1;yes;yes;0
459;41;1;31;6630;416;10,6;yes;no;0
460;54;2;44;26300;2169;2,6;no;no;0
461;27;1;12;4290;361;2,6;no;no;0
462;25;1;15;4570;325;7,4;yes;yes;0
463;29;1;16;5440;294;5,9;yes;yes;0
464;31;1;19;4870;506;5,4;no;yes;1
465;56;1;43;20540;3331;5,7;yes;yes;0
466;49;1;42;18290;667;6,6;yes;yes;0
467;38;3;12;8000;556;4,4;yes;yes;0
468;48;1;35;10140;431;5,9;no;no;0
469;38;1;28;6840;634;10,4;no;no;0
470;56;1;29;7500;762;6;yes;yes;0
471;44;2;33;11120;423;5,7;no;yes;0
472;31;3;18;5320;528;5,7;yes;no;1
473;37;2;19;7260;1987;3,5;no;yes;0
474;36;2;20;7600;1245;3,9;yes;yes;0
475;46;1;27;6690;699;6,4;yes;yes;0
476;33;1;21;6530;697;3,8;yes;no;1
477;30;1;17;4910;260;8,5;yes;no;0
478;53;1;28;6110;706;6,3;yes;yes;0
479;56;1;49;24770;827;5,6;no;no;0
480;33;3;13;6190;995;5,7;yes;no;1
481;49;2;30;11200;738;3,2;no;yes;0
482;36;1;28;8410;735;1,5;yes;no;0
483;48;1;14;4870;646;6,1;no;yes;0
484;34;3;17;5840;1090;6,9;yes;no;0
485;25;1;14;4740;1168;1,9;yes;no;1
486;42;1;34;9420;1450;8,9;yes;yes;0
487;51;3;17;6870;998;5,7;no;yes;0
488;29;1;20;5900;914;6,3;yes;no;0
489;48;2;15;8470;111;3;yes;no;0
490;49;1;39;11300;1012;4,2;yes;no;0
491;40;2;12;6730;1424;5,3;yes;no;1
492;29;2;18;5400;1344;7;yes;no;0
493;33;3;18;6150;404;7,3;no;yes;0
494;37;1;13;5410;416;2,3;yes;yes;0
495;30;1;17;5060;177;4,7;yes;yes;0
496;47;1;39;12500;1062;8,6;no;no;0
497;33;2;12;5000;101;4,9;no;no;0
498;46;1;17;5460;255;0,3;no;yes;0
499;25;3;12;5640;605;7,9;yes;no;1
500;39;1;25;7080;1603;5,6;yes;no;0
501;34;1;20;6190;201;6,6;no;no;0
502;28;1;16;5000;1093;3,1;yes;no;0
503;43;3;21;23050;779;4,1;yes;no;0
504;33;2;14;4970;1148;4,8;yes;no;0
505;45;3;15;5640;112;6,6;yes;yes;0
506;41;2;25;7530;560;1,8;yes;no;1
507;30;1;12;5720;416;7,4;yes;yes;1
508;30;3;17;7060;744;3,7;no;no;0
509;24;1;14;4530;538;4,7;yes;no;0
510;51;3;22;9330;3554;4,4;no;yes;1
511;41;2;19;7150;974;0,1;yes;yes;0
512;31;2;19;5050;266;6,1;no;no;0
513;32;1;23;8100;2539;6,9;yes;yes;0
514;32;2;19;7940;1113;3;yes;no;0
515;41;1;32;9740;362;3,5;no;no;0
516;27;2;15;6180;944;11;no;no;1
517;29;1;19;5910;295;5,4;yes;yes;1
518;35;2;20;4990;971;3,3;yes;yes;1
519;35;3;20;5390;68;3,6;yes;no;0
520;24;1;13;4500;616;2,7;yes;yes;0
521;35;1;13;5090;211;4,1;yes;yes;1
522;31;1;21;6110;835;1;yes;yes;0
523;36;1;29;5820;290;5,5;yes;yes;0
524;49;3;19;30000;3193;5,7;yes;yes;0
525;51;2;16;6210;316;4,7;yes;no;0
526;53;1;36;12620;170;6,6;yes;no;0
527;34;1;16;5440;375;8,3;yes;yes;0
528;35;2;21;8000;1745;5,6;no;yes;0
529;36;1;17;4940;507;5,2;no;no;0
530;44;2;16;6790;266;3,6;yes;no;0
531;40;2;22;10310;582;7,3;yes;no;0
532;41;2;20;6630;90;4,4;no;no;0
533;34;1;12;5360;804;6,5;yes;no;1
534;45;2;34;13600;1126;4,3;yes;no;0
535;39;2;22;6640;357;5,6;yes;no;0
536;43;2;32;13750;1271;3;yes;yes;0
537;40;3;13;5560;205;8,5;no;yes;0
538;51;2;12;5520;441;5,5;yes;no;1
539;32;1;19;5690;1032;6,3;no;no;1
540;32;1;21;7030;473;10,4;yes;no;0
541;31;1;21;5170;432;1;no;no;0
542;47;2;26;7720;1762;3,9;yes;no;0
543;43;1;32;8300;756;1,7;yes;no;0
544;27;1;13;4650;677;5,9;no;no;0
545;53;2;23;6520;695;4,7;yes;yes;0
546;43;2;19;5460;915;5;yes;yes;1
547;35;1;15;5580;126;5,8;yes;no;0
548;45;1;34;14090;1084;6,3;yes;no;1
549;37;3;14;4770;324;0,8;no;yes;0
550;37;2;12;5730;781;3,8;yes;yes;1
551;39;2;27;6320;606;7,7;no;no;0
552;27;1;14;4560;149;2,8;yes;yes;0
553;35;1;15;4690;676;7,7;no;no;0
554;48;1;29;8960;620;1,1;no;no;0
555;44;3;16;11410;1897;5,7;yes;yes;1
556;38;2;14;5600;644;4,7;yes;no;0
557;28;3;14;4960;128;6,6;yes;no;0
558;33;2;16;6790;1185;7,8;no;no;0
559;47;3;33;24120;1965;4,1;yes;no;0
560;41;1;29;9840;3023;5,2;no;yes;1
561;41;2;27;12330;833;6,7;no;yes;0
562;44;1;33;8720;544;3,1;yes;yes;0
563;49;1;21;6370;160;3,3;no;yes;0
564;47;3;13;6960;683;6,1;no;yes;1
565;52;1;32;10640;1170;6,3;yes;yes;0
566;47;2;29;8580;1077;5,6;no;no;1
567;57;3;38;30000;1251;7,9;yes;no;0
568;60;1;22;8540;98;7,3;yes;yes;0
569;38;1;13;5040;483;5,8;yes;no;1
570;42;2;27;7780;82;4,8;no;no;0
571;38;2;20;5720;218;3,1;yes;no;0
572;35;1;14;5970;1327;3;yes;yes;1
573;25;1;18;4960;472;3,6;yes;yes;0
574;47;3;18;6820;34;6,1;yes;no;0
575;48;1;29;8800;1138;1,4;no;no;0
576;52;1;17;6090;401;7,6;no;no;1
